Book,Date,Pg. Number,Document Pg. Number,Header,Entry
Diary 1861-1877,1863-02-23,116,141,N/A,"*23. Wretchedly squandered day, from malaise. Unable even to read. G. went
into town to sign his mother's trust deed."
Diary 1861-1877,1863-02-24,116,141,N/A,"24. We started for Dorking this afternoon. While there I received a letter from
Miss Faithfull asking me to write a story for a new Magazine of hers."
Diary 1861-1877,1863-03-03,116,141,N/A,"March 3. We returned from our week's stay at Dorking. I had headache as usual,
as my introduction to town life. Finished Part XI."
Diary 1861-1877,1863-03-08,116,141,N/A,"8. Sunday. Charles returned from Switzerland. Last week a letter from Miss
Nannie Smith at Palermo"
Diary 1861-1877,1863-03-16,116,141,N/A,"16. Only at p. 22 of Part XII. Wretchedly oppressed and ailing- feeling as ifl
should never get my work done so as to satisfy me. G. went today to see his
sister-in-law Susannah, who is very ill from anxiety and attendance on her boy.
On Sat. 14, Mr. Burton came and sat with us in the evening."
Diary 1861-1877,1863-03-20&21,116,141,N/A,"*20, 21. Oppressed with bodily ills; making no progress in writing."
Diary 1861-1877,1863-03-22,116,141,N/A,22. Better: wrote up top. 32.
Diary 1861-1877,1863-03-23,116-117,141-142,N/A,"*23. Monday. We went to Dorking, where G. left me the following day. I was ill
and alarmed about myself lest I should get incapable of work. But by the end of the week I recovered from my worst ailments, still infirm in head however,
and little able to write. George came back to me on Saturday the 28th and we
returned home on the Monday- I with violent sick headache. Through the
week I was in incessant malaise from indigestion producing Hemicrania, until
Saturday, April 4, when I seemed to turn the corner and get a better prospect."
Diary 1861-1877,1863-04-06,117,142,N/A,"Apr.6 . Yesterday, Sunday I finished Part XII and read to G. in the evening, who
was highly contented- Ebenezer! - Miss Parkes came for an hour and chatted
pleasantly."
Diary 1861-1877,1863-04-13,117,142,N/A,13. Only at p. 13!
Diary 1861-1877,1863-04-16,117,142,N/A,*16. At p. 20.
Diary 1861-1877,1863-04-18,117,142,N/A,*18. George's 46th Birthday.
Diary 1861-1877,1863-05-06,117,142,N/A,"May 6. We have just returned from Dorking whither I went a fortnight ago, to have solitude while George took his journey to Hofwyl to see Bertie. The weather was severely cold for several days of my stay, and I was often ailing. That has been the way with me for a month and more and in consequence I am backward with my July  number of Romola- the last part but one."
Diary 1861-1877,1863-05-07,117,142,N/A,"7. At the 37th page, having made a large excision of matter for the sake of
rapidity"
Diary 1861-1877,1863-05-10,117,142,N/A,"10. Sunday. Wrote this morning the beginning of the Trial by Fire. I am very
feeble, finding the latter half of the day all weariness."
Diary 1861-1877,1863-05-14,117,142,N/A,"*14. Read Part XIII to G. up to the moment when Spini gives the order about
Tito."
Diary 1861-1877,1863-05-16,117,142,N/A,"16. Finished Part XII. Killed Tito in great excitement! - Went to see the Priory,
North Bank, a house we think of buying."
Diary 1861-1877,1863-05-18,117,142,N/A,"18. Began Part XIV- the last! Yesterday George saw Count Arrivabene, who
wishes to translate Romola, and says the Italians are indebted to me."
Diary 1861-1877,1863-05-20,117,142,N/A,20. Mr. and Mrs. Bray lunched with us.
Diary 1861-1877,1863-05-24,117,142,N/A,"24. Sunday. We went to St. Mary's Moorfields in the morning, and heard
Beethoven's Mass in C and Cardinal Wiseman's wretched Sermon on the Day of Pentecost. Coming home, we found Mrs. Bray waiting for us. Drove her to Hampstead."
Diary 1861-1877,1863-05-25,117,142,N/A,25. Heavy and good for nothing. Only at p. 18.
Diary 1861-1877,1863-06-01,117,142,N/A,"June 1. I have not yet finished Romola, and am made stupid and depressed by a
slight cough. I have written up to the moment when Tessa and the children are
taken home by Romola."
Diary 1861-1877,1863-06-06,117,142,N/A,"June 6. We had a little evening party, with music, intended to celebrate the
completion of Romola, which however is not absolutely completed, for I have
still to alter the Epilogue."
Diary 1861-1877,1863-06-07,118,143,N/A,"7. Sunday. Ill with hemicrania, unable to do anything all day."
Diary 1861-1877,1863-06-08,118,143,N/A,*8. Still suffering from my cough and headache.
Diary 1861-1877,1863-06-09,118,143,N/A,"9. Tuesday. Put the last stroke to Romo la.
Ebenezer!
Went in the evening to hear La Gazza Ladra."
Diary 1861-1877,1863-06-16,118,143,N/A,"16. G. and I set off to the Isle of Wight where we had a delightful holiday. The only drawback during the first week was my cough which made the cold breezes unwelcome. On Friday the nineteenth we settled for a week at Niton, which, I think, is the prettiest place in all the island. On the following Friday, we went on to Freshwater, and failed from threatening rain, in an attempt to walk to Alum Bay, so that we rather repented of our choice. The consolation was that we should know better than to go to Freshwater another time. On
the Saturday morning we drove to Ryde and remained there until Monday the 29th. I am much strengthened by the change and have quite lost my cough."
Diary 1861-1877,1863-07-03,118,143,N/A,"July 3. Thornie came home from Edinburgh yesterday, looking very well and
cheerful in the prospect of his final examination for India."
Diary 1861-1877,1863-07-04,118,143,N/A,"4. Went a second time to see a house in Circus Road, which divides our choice with the Priory. Went to see Ristori in Adrienne Lecouvreur, and did notlike it. I have had hemicrania for several days, and have been almost idle since my return home."
Diary 1861-1877,1863-07-12,118,143,N/A,"12. Went to the Princess's to see the French actress, Stella Colas in Juliet. The two Mr. Trollopes called in the morning, and after lunch we went with Mr. Spencer to the Zoo. and heard some music. I am now in the middle of G's
Aristotle, which gives me great delight."
Diary 1861-1877,1863-07-23,118,143,N/A,"July 23. Reading Mommsen, and Story's Roba di Roma. Also Liddell's Rome,
for a narrative to accompany Mommsen's analysis."
Diary 1861-1877,1863-07-28,118,143,N/A,"*28. Last evening Browning came to see us and brought me a photograph of his
wife, taken from a portrait of her as a very young girl. Bertie returned from
Hofwyl."
Diary 1861-1877,1863-07-29,118,143,N/A,"29. We drove Nursie to Hampstead in the afternoon. In the evening we went to
Covent Garden to hear Faust for the third time. On our return we found a letter
from Frederick Maurice - the greatest, most generous tribute ever given to me
in my life."
Diary 1861-1877,1863-08-10,118-119,143-144,N/A,"Aug. 10. I have been feeling very ill and depressed- partly in consequence of agitation about Thornie who has failed to pass his examination for the Indian Civil Service, partly I suppose from the effect of London air and London
circumstances. So on this day G. took me to Worthing and staid with me till
Wednesday evening. On Saturday he returned to me having sent me in the
meanwhile a sweet letter from Mrs. Hare wife of Julius Hare, and Maurice's
sister. Yesterday-the 18th-we returned home. I am much invigorated by my week of change, but my spirits seem to drop, as usual, now I am in London again."
Diary 1861-1877,1863-08-22,119,144,N/A,"*22. Last evening Mr. James Doyle came to spend an hour or two with us. Today,
Charlie went with us to the Zoo."
Diary 1861-1877,1863-08-24,119,144,N/A,24. Mr. and Mrs. Congreve lunched with us.
Diary 1861-1877,1863-09-15,119,144,N/A,"Sep. 15. I went to Richmond for a fortnight, during which we were in much
anxiety about Thornie. G. went to Knebworth on the 19th to talk to Sir E. Lytton
about sending T. to one of the Colonies."
Diary 1861-1877,1863-09-26,119,144,N/A,"26. We came home from Richmond. Mrs. Bodichon having recommended
Natal and offered to further Thornie by writing on his behalf to her friends
there, we think now of sending him thither."
Diary 1861-1877,1863-10-17,119,144,N/A,Oct.1 7. Thornton left us for Natal.
Diary 1861-1877,1863-11-05,119,144,N/A,"Nov. 5. We moved into our new home-The Priory, 21 North Bank. I was still
suffering from the remains of a severe cold which had attacked me a week
before."
Diary 1861-1877,1863-11-14,119,144,N/A,"Nov. 14. We are now nearly in order, only wanting a few details of furniture to
finish our equipment for a new stage in our life's journey. I long very much to
have done thinking of upholstery and to get again a consciousness that there
are better things than that to reconcile one with life."
Diary 1861-1877,1863-11-24,119,144,N/A,24. Charlie's 21st Birthday.
Diary 1861-1877,1863-12-25,119,144,N/A,"Dec. 25. Bertie with us, delighting us by the improvement in him after his three months of Scotch farming. Our life is made up of blessings."
Diary 1861-1877,1864-01-17,119,144,N/A,"1864
Jan. 17. *Sunday. Two months and seventeen days since we moved into our new
home."
Diary 1861-1877,1864-01-30,119,144,N/A,"30. We had Browning, Dallas and Burton to dine with us and in the evening a
gentleman's party."
Diary 1861-1877,1864-02-04,119,144,N/A,Feb 4. Mr. Anthony Trollope and Mr. Theodore Martin dined with us.
Diary 1861-1877,1864-02-07,119,144,N/A,Sunday 7. Mr. and Mrs. Theodore Martin called on us.
Diary 1861-1877,1864-02-08,119,144,N/A,"8. We went to see Laura Bateman in ""Leah""."
Diary 1861-1877,1864-02-15,119,144,N/A,"*14. Sunday. G. went to see Helen Faucit on business of mine. Mr. Burton dined
with us and asked me to let him take my portrait."
Diary 1861-1877,1864-03-05,119,144,N/A,Mar. 5. Went to see Sothern in Lord Dundreary and Bunkum Muller.
Diary 1861-1877,1864-03-06,119,144,N/A,Mar. 6. Sunday. Mrs. Martin brought me her portrait.
Diary 1861-1877,1864-03-08,119,144,N/A,8. Received cheque of £150 from Blackwood.
Diary 1861-1877,1864-03-11,119,144,N/A,*11. Went to hear Judas Maccabæus with Mr. Burton.
Diary 1861-1877,1864-03-27,120,145,N/A,"27. Mrs. Bray spent the day with us and in the evening G. and I set out on a
journey to Glasgow."
Diary 1861-1877,1864-04-02,120,145,N/A,"April 2. We returned from Glasgow, having seen Bertie in his home at Hillhead,
Covington, on our way back."
Diary 1861-1877,1864-04-04,120,145,N/A,"4. Had a delightful letter from Thornie dated Jan. 28 from Pietermaritzburg, ·
Natal. Then G. and I went to see Mr. Leighton's pictures in his Studio."
Diary 1861-1877,1864-04-06,120,145,N/A,"*6. Wednesday. Mr. Spencer called for the first time after a long correspondence
on the subject ofhis relation to Comte."
Diary 1861-1877,1864-04-09,120,145,N/A,9. Went with Mr. Owen Jones to the Kensington Museum to see Mulready's pictures and the Indian Courts.
Diary 1861-1877,1864-04-10,120,145,N/A,10. Grandmamma dined with us.
Diary 1861-1877,1864-04-18,120,145,N/A,18. We went to the Crystal Palace to see Garibaldi.
Diary 1861-1877,1864-04-19,120,145,N/A,19. George went into Herefordshire.
Diary 1861-1877,1864-05-04,120,145,N/A,May 4. We started for Italy with Mr. Burton.
Diary 1861-1877,1864-06-20,120,145,N/A,June 20. Arrived at our pretty home again after an absence of seven weeks.
Diary 1861-1877,1864-07-17,120,145,N/A,"July 17. Horrible scepticism about all things- paralyzing my mind. Shall I ever
be good for anything again? - ever do anything again?"
Diary 1861-1877,1864-07-19,120,145,N/A,"July 19. Reading Gibbon vol.1 in connection with Mosheim. Read about the Dionysia. Also Gieseler, on the condition of the world at the appearance of Christianity."
Diary 1861-1877,1864-08-06,120,145,N/A,"Aug. 6. G. having been into town came back with the news that the Cornhill
Magazine was a loss. I am nearly at the end of Gibbon vol. II, and am reading a
little in Philology, much interrupted by visitors etc."
Diary 1861-1877,1864-08-14,120,145,N/A,"14. Sunday*. Mr. Pigott and Mr. Burton dined with us. George very feeble and
delicate just now."
Diary 1861-1877,1864-09-06,120,145,N/A,"Sep. 6. George still feeble, thinner and thinner, giving me great anxiety. I am
reading about Spain and trying a drama on a subject that has fascinated me- have written the prologue, and am beginning the First Act. But I have little hope of making anything satisfactory."
